CM-A-K0806-TECH-1.29,192.168.1.29,,
CM-A-K0806-18-1.60,192.168.1.60,,
CM-A-K0907-8-1.58,192.168.1.58,['WS-C3560CX-12PC-S'],['FOT2142Y0C3']
